SRR7426831	../../human_heart_rnaseq/results/markDuplicates/SRR7426831Aligned.sortedByCoord.out.markDups.bam	DCM
SRR7426832	../../human_heart_rnaseq/results/markDuplicates/SRR7426832Aligned.sortedByCoord.out.markDups.bam	DCM
SRR7426833	../../human_heart_rnaseq/results/markDuplicates/SRR7426833Aligned.sortedByCoord.out.markDups.bam	DCM
SRR7426834	../../human_heart_rnaseq/results/markDuplicates/SRR7426834Aligned.sortedByCoord.out.markDups.bam	DCM
SRR7426835	../../human_heart_rnaseq/results/markDuplicates/SRR7426835Aligned.sortedByCoord.out.markDups.bam	ICM
SRR7426836	../../human_heart_rnaseq/results/markDuplicates/SRR7426836Aligned.sortedByCoord.out.markDups.bam	ICM
SRR7426837	../../human_heart_rnaseq/results/markDuplicates/SRR7426837Aligned.sortedByCoord.out.markDups.bam	ICM
SRR7426838	../../human_heart_rnaseq/results/markDuplicates/SRR7426838Aligned.sortedByCoord.out.markDups.bam	ICM
SRR7426839	../../human_heart_rnaseq/results/markDuplicates/SRR7426839Aligned.sortedByCoord.out.markDups.bam	ICM
SRR7426840	../../human_heart_rnaseq/results/markDuplicates/SRR7426840Aligned.sortedByCoord.out.markDups.bam	ICM
SRR7426841	../../human_heart_rnaseq/results/markDuplicates/SRR7426841Aligned.sortedByCoord.out.markDups.bam	ICM
SRR7426842	../../human_heart_rnaseq/results/markDuplicates/SRR7426842Aligned.sortedByCoord.out.markDups.bam	ICM
SRR7426843	../../human_heart_rnaseq/results/markDuplicates/SRR7426843Aligned.sortedByCoord.out.markDups.bam	ICM
SRR7426844	../../human_heart_rnaseq/results/markDuplicates/SRR7426844Aligned.sortedByCoord.out.markDups.bam	ICM
SRR7426845	../../human_heart_rnaseq/results/markDuplicates/SRR7426845Aligned.sortedByCoord.out.markDups.bam	ICM
SRR7426846	../../human_heart_rnaseq/results/markDuplicates/SRR7426846Aligned.sortedByCoord.out.markDups.bam	ICM
